Licor unixtime,LiCor time (Sec),LiCor conc (ppm),SCD unixtime,SCD time (sec),SCD 1 (ppm),SCD 2 (ppm),SCD 3 (ppm),SCD 4 (ppm)
1635306786,510,452,1635307806,1530,451,445,454,463
1635306787,511,450,1635307809,1533,451,444,454,463
1635306788,512,452,1635307812,1536,451,444,453,462
1635306789,513,450,1635307815,1539,450,445,452,461
1635306790,514,452,1635307818,1542,450,445,452,461
1635306791,515,448,1635307821,1545,450,445,452,462
1635306792,516,454,1635307824,1548,449,445,451,461
1635306793,517,450,1635307827,1551,449,445,451,461
1635306794,518,452,1635307830,1554,449,444,451,461
1635306795,519,452,1635307833,1557,449,444,450,462
1635306796,520,450,1635307836,1560,450,444,449,462
1635306797,521,454,1635307839,1563,449,444,450,462
1635306798,522,454,1635307842,1566,450,443,451,462
1635306799,523,450,1635307845,1569,450,443,451,462
1635306800,524,450,1635307848,1572,449,443,451,462
1635306801,525,452,1635307851,1575,450,443,451,462
1635306802,526,450,1635307854,1578,450,444,450,461
1635306803,527,452,1635307857,1581,449,443,449,461
1635306804,528,448,1635307860,1584,448,443,450,461
1635306805,529,452,1635307863,1587,448,443,450,460
1635306806,530,448,1635307866,1590,449,443,450,460
1635306807,531,454,1635307869,1593,447,443,449,459
1635306808,532,450,1635307872,1596,447,443,448,459
1635306809,533,452,1635307875,1599,448,442,448,459
1635306810,534,450,1635307878,1602,448,443,448,458
1635306811,535,454,1635307881,1605,447,443,447,459
1635306812,536,456,1635307884,1608,447,442,446,458
1635306813,537,452,1635307887,1611,447,443,446,458
1635306814,538,450,1635307890,1614,446,443,446,458
1635306815,539,450,1635307893,1617,446,442,446,457
1635306816,540,452,1635307896,1620,446,441,446,458
1635306817,541,450,1635307899,1623,447,442,444,458
1635306818,542,450,1635307902,1626,446,442,442,458
1635306819,543,450,1635307905,1629,446,443,443,457
1635306820,544,452,1635307908,1632,445,444,442,458
1635306821,545,448,1635307911,1635,446,444,444,459
1635306822,546,450,1635307914,1638,446,443,449,459
1635306823,547,450,1635307917,1641,446,443,451,459
1635306824,548,448,1635307920,1644,445,442,452,460
1635306825,549,452,1635307923,1647,445,442,452,460
