UNIXTIMECO2,
1580808983,1536
1580808984,1536
1580808985,1536
1580808986,1535
1580808987,1535
1580808988,1535
1580808989,1535
1580808990,1536
1580808991,1536
1580808992,1536
1580808993,1536
1580808994,1536
1580808995,1536
1580808996,1537
1580808997,1537
1580808998,1536
1580808999,1536
1580809000,1536
1580809001,1536
1580809002,1536
1580809003,1536
1580809004,1536
1580809005,1536
1580809006,1537
1580809007,1536
1580809008,1536
1580809009,1536
1580809010,1536
1580809011,1536
1580809012,1535
1580809013,1535
1580809014,1535
1580809015,1535
1580809016,1536
1580809018,1536
1580809019,1536
1580809020,1536
1580809021,1536
1580809022,1536
1580809023,1536
1580809024,1536
1580809025,1536
1580809026,1536
1580809027,1536
1580809028,1536
1580809029,1536
1580809030,1536
1580809031,1536
1580809032,1537
1580809033,1537
1580809034,1537
1580809035,1536
1580809036,1536
1580809037,1536
1580809038,1535
1580809039,1535
1580809040,1535
1580809041,1534
1580809042,1534
1580809043,1533
1580809044,1533
1580809045,1532
1580809046,1531
1580809047,1531
1580809048,1531
1580809049,1530
1580809050,1530
1580809051,1530
1580809052,1529
1580809053,1529
1580809054,1528
1580809056,1528
1580809057,1528
1580809058,1528
1580809059,1527
1580809060,1527
1580809061,1526
1580809062,1526
1580809063,1526
1580809064,1526
1580809065,1526
1580809066,1526
1580809067,1526
1580809068,1526
1580809069,1526
1580809070,1526
