unixtime,ws,wd,co2,temp
1625854245,7,237,367,41
1625854248,7,235,430,41
1625854251,7,258,495,41
1625854254,5,254,448,41
1625854257,5,234,436,41
1625854260,5,223,423,41
1625854263,6,225,418,41
1625854266,7,228,421,41
1625854269,9,230,404,41
1625854272,6,237,398,41
1625854275,5,224,394,41
1625854278,7,224,396,41
1625854281,5,234,394,41
1625854284,4,226,378,41
1625854287,3,227,416,41
1625854290,3,224,420,41
1625854293,4,231,418,42
1625854296,3,230,421,42
1625854299,5,230,419,42
1625854302,4,230,394,42
1625854305,6,219,407,42
1625854308,6,216,412,42
1625854311,6,215,409,42
1625854314,8,213,403,42
1625854317,8,206,386,42
1625854320,8,202,382,42
1625854323,8,218,371,42
1625854326,6,213,369,42
1625854329,5,225,370,42
1625854332,6,219,365,42
1625854335,6,215,374,42
1625854338,5,219,375,42
1625854341,4,218,371,42
1625854344,9,218,372,42
1625854347,12,203,380,42
1625854350,12,200,389,42
1625854353,9,228,340,42
1625854356,9,222,222,42
1625854359,8,200,237,42
1625854362,8,204,555,42
1625854365,11,211,412,42
1625854368,14,226,365,42
1625854371,13,237,385,42
1625854374,13,230,373,42
1625854377,11,235,385,42
1625854380,10,219,365,42
1625854383,9,226,394,41
1625854386,8,250,394,42
1625854389,12,208,408,42
1625854392,12,215,418,41
1625854395,12,207,439,41
1625854398,12,205,424,41
1625854401,11,265,429,41
1625854404,10,229,395,41
1625854407,13,237,384,41
1625854410,12,242,395,41
1625854413,12,226,408,41
1625854416,9,256,417,41
1625854419,7,236,443,41
1625854422,10,225,431,41
1625854425,10,194,418,41
1625854428,9,227,447,41
1625854431,12,209,434,41
1625854434,9,253,455,41
1625854437,7,184,431,41
1625854440,10,209,425,41
