Read times - Voltage  graph	Voltage(V) - Voltage  graph	Read times - Current graph	Current(A) - Current graph	
886	4.977	886	0.0337	
887	4.984	887	0.0337	
888	4.984	888	0.0315	
889	4.978	889	0.0315	
890	4.978	890	0.0311	
891	4.982	891	0.0311	
892	4.982	892	0.0313	
893	4.976	893	0.0313	
894	4.976	894	0.0312	
895	4.984	895	0.0312	
896	4.984	896	0.0310	
897	4.975	897	0.0310	
898	4.975	898	0.0313	
899	4.983	899	0.0313	
900	4.983	900	0.0311	
901	4.973	901	0.0311	
902	4.973	902	0.0310	
903	4.983	903	0.0310	
904	4.983	904	0.0327	
905	4.975	905	0.0327	
906	4.975	906	0.0309	
907	4.984	907	0.0309	
908	4.984	908	0.0347	
909	4.973	909	0.0347	
910	4.973	910	0.0309	
911	4.984	911	0.0309	
912	4.984	912	0.0345	
913	4.975	913	0.0345	
914	4.975	914	0.0302	
915	4.983	915	0.0302	
916	4.983	916	0.0345	
917	4.974	917	0.0345	
918	4.974	918	0.0303	
919	4.983	919	0.0303	
920	4.983	920	0.0347	
921	4.975	921	0.0347	
922	4.975	922	0.0300	
923	4.983	923	0.0300	
924	4.983	924	0.0347	
925	4.975	925	0.0347	
926	4.975	926	0.0307	
927	4.983	927	0.0307	
928	4.983	928	0.0339	
929	4.979	929	0.0339	
930	4.979	930	0.0300	
931	4.982	931	0.0300	
932	4.982	932	0.0339	
933	4.979	933	0.0339	
934	4.979	934	0.0300	
935	4.984	935	0.0300	
936	4.984	936	0.0369	
937	4.979	937	0.0369	
938	4.979	938	0.0300	
939	4.984	939	0.0300	
940	4.984	940	0.0371	
941	4.979	941	0.0371	
942	4.979	942	0.0300	
943	4.984	943	0.0300	
944	4.984	944	0.0375	
945	4.979	945	0.0375	
946	4.979	946	0.0294	
947	4.983	947	0.0294	
948	4.983	948	0.0379	
949	4.979	949	0.0379	
950	4.979	950	0.0294	
951	4.984	951	0.0294	
952	4.984	952	0.0379	
953	4.980	953	0.0379	
954	4.980	954	0.0300	
955	4.983	955	0.0300	
956	4.983	956	0.0379	
957	4.980	957	0.0379	
958	4.980	958	0.0300	
959	4.983	959	0.0300	
960	4.983	960	0.0373	
961	4.983	961	0.0373	
962	4.983	962	0.0302	
963	4.983	963	0.0302	
964	4.983	964	0.0377	
965	4.983	965	0.0377	
966	4.983	966	0.0302	
967	4.983	967	0.0302	
968	4.983	968	0.0379	
969	4.983	969	0.0379	
970	4.983	970	0.0305	
971	4.984	971	0.0305	
972	4.984	972	0.0710	
973	4.982	973	0.0710	
974	4.982	974	0.0302	
975	4.984	975	0.0302	
976	4.984	976	0.0714	
977	4.983	977	0.0714	
