"unixtime","datetime","date","ws","wd","co2","temp"
1625605819,2021-07-06 21:10:19,"07/06/2021 21:10",0.67,49,374,42
1625605822,2021-07-06 21:10:22,"07/06/2021 21:10",0.67,37,385,42
1625605825,2021-07-06 21:10:25,"07/06/2021 21:10",0.67,65,363,42
1625605828,2021-07-06 21:10:28,"07/06/2021 21:10",1.01,34,288,42
1625605831,2021-07-06 21:10:31,"07/06/2021 21:10",1.34,22,419,42
1625605834,2021-07-06 21:10:34,"07/06/2021 21:10",1.68,20,448,42
1625605837,2021-07-06 21:10:37,"07/06/2021 21:10",1.01,24,379,42
1625605840,2021-07-06 21:10:40,"07/06/2021 21:10",1.34,40,478,42
1625605843,2021-07-06 21:10:43,"07/06/2021 21:10",0.67,14,431,42
1625605846,2021-07-06 21:10:46,"07/06/2021 21:10",0.67,14,500,42
1625605849,2021-07-06 21:10:49,"07/06/2021 21:10",0.34,16,515,42
1625605852,2021-07-06 21:10:52,"07/06/2021 21:10",0.34,18,480,42
1625605855,2021-07-06 21:10:55,"07/06/2021 21:10",0.34,42,484,42
1625605858,2021-07-06 21:10:58,"07/06/2021 21:10",0.34,22,488,42
1625605861,2021-07-06 21:11:01,"07/06/2021 21:11",0.34,39,484,42
1625605864,2021-07-06 21:11:04,"07/06/2021 21:11",0.67,42,479,42
1625605867,2021-07-06 21:11:07,"07/06/2021 21:11",0.67,58,473,43
1625605870,2021-07-06 21:11:10,"07/06/2021 21:11",0.67,62,477,43
1625605873,2021-07-06 21:11:13,"07/06/2021 21:11",0.67,61,471,43
1625605876,2021-07-06 21:11:16,"07/06/2021 21:11",0.67,64,479,43
1625605879,2021-07-06 21:11:19,"07/06/2021 21:11",0.34,63,466,43
1625605882,2021-07-06 21:11:22,"07/06/2021 21:11",1.01,63,466,43
1625605885,2021-07-06 21:11:25,"07/06/2021 21:11",1.68,85,451,43
1625605888,2021-07-06 21:11:28,"07/06/2021 21:11",2.35,65,450,43
