unixtime,ws,wd,co2,temp
1625606956,9,17,426,43
1625606959,11,22,448,43
1625606962,7,36,465,43
1625606965,7,80,454,43
1625606968,11,63,454,43
1625606971,8,64,457,43
1625606974,6,40,446,43
1625606977,6,59,431,43
1625606980,6,64,439,43
1625606983,6,58,443,43
1625606986,4,55,441,43
1625606989,8,56,442,43
1625606992,13,70,450,43
1625606995,14,59,454,43
1625606998,9,64,452,43
1625607001,9,57,466,43
1625607004,10,51,458,43
1625607007,11,53,464,43
1625607010,10,27,497,43
1625607013,9,21,458,43
1625607016,7,18,384,43
1625607019,8,14,421,43
1625607022,7,14,378,43
1625607025,7,40,411,43
1625607028,11,19,524,43
1625607031,10,34,681,43
1625607034,10,42,547,43
1625607037,14,77,300,43
1625607040,15,68,461,43
1625607043,12,68,498,42
1625607046,9,80,499,42
1625607049,11,61,476,42
1625607052,10,75,514,42
1625607055,13,39,534,42
1625607058,15,72,468,42
1625607061,13,59,518,42
1625607064,14,63,538,42
1625607067,14,55,549,42
1625607070,13,25,546,42
1625607073,13,62,528,42
1625607076,9,49,533,42
1625607079,10,54,475,42
1625607082,9,62,447,42
1625607085,12,26,471,42
1625607088,12,39,482,42
1625607091,12,25,516,42
1625607094,13,74,388,42
1625607097,15,61,480,42
1625607100,14,46,514,42
1625607103,13,88,466,42
1625607106,12,31,470,42
1625607109,12,23,443,42
1625607112,13,54,484,41
1625607115,12,81,445,42
1625607118,11,19,398,41
1625607121,11,18,467,41
1625607124,13,19,504,42
1625607127,13,24,467,42
1625607130,10,80,412,42
1625607133,17,22,325,42
1625607136,15,22,479,41
1625607139,13,35,316,41
1625607142,14,36,382,41
1625607145,14,85,324,41
1625607148,12,27,560,41
1625607151,10,43,451,41
1625607154,11,39,358,41
1625607157,9,54,316,41
1625607160,9,85,293,41
1625607163,14,59,324,41
1625607166,16,62,327,41
1625607169,15,61,323,41
1625607172,15,62,333,41
1625607175,11,77,338,41
1625607178,9,64,401,41
1625607181,8,60,422,41
1625607184,8,61,440,41
1625607187,11,62,472,41
1625607190,12,80,487,41
1625607193,11,55,461,41
1625607196,9,63,470,41
1625607199,11,34,444,41
1625607202,9,25,459,41
1625607205,9,34,472,41
1625607208,10,19,392,41
1625607211,10,14,462,41
1625607214,10,16,432,41
1625607217,9,22,490,41
1625607220,10,46,473,41
1625607223,10,27,513,41
1625607226,13,99,487,41
1625607229,14,39,379,41
1625607232,11,62,476,41
1625607235,11,77,345,41
1625607238,10,152,329,41
1625607241,11,178,302,41
1625607244,10,195,418,41
1625607247,9,96,591,41
1625607250,9,156,498,41
1625607253,12,95,517,41
1625607256,10,154,472,41
1625607259,9,114,474,41
1625607262,12,109,473,41
1625607265,11,62,451,41
1625607268,8,126,449,41
1625607271,6,121,449,41
1625607274,4,144,466,41
1625607277,5,101,457,41
1625607280,7,124,457,41
1625607283,9,122,430,41
