unixtime,ws,wd,co2,temp
1625854675,8,291,192,37
1625854678,7,298,205,37
1625854681,7,297,178,36
1625854684,6,308,219,37
1625854687,5,308,187,36
1625854690,6,304,317,36
1625854693,5,286,210,37
1625854696,5,277,6,37
1625854699,6,260,75,37
1625854702,6,253,73,37
1625854705,8,212,23,37
1625854708,7,213,127,37
1625854711,7,213,139,37
1625854714,11,214,128,37
1625854717,10,227,71,37
1625854720,9,255,103,37
1625854723,8,238,126,37
1625854726,7,237,167,37
1625854729,5,239,234,37
1625854732,4,239,255,37
1625854735,2,239,204,36
1625854738,2,239,264,37
1625854741,1,239,274,37
1625854744,5,239,195,37
1625854747,11,239,171,37
1625854750,13,235,111,37
1625854753,11,222,98,37
1625854756,10,219,68,37
1625854759,7,223,88,37
1625854762,5,223,59,37
1625854765,5,223,56,37
1625854768,6,223,154,37
1625854771,4,223,209,37
1625854774,4,223,217,37
1625854777,2,223,242,37
1625854780,2,223,85,37
1625854783,2,223,189,37
1625854786,3,223,282,37
1625854789,2,223,294,37
1625854792,2,223,264,37
1625854795,3,223,260,37
1625854798,2,223,234,37
1625854801,2,223,216,37
1625854804,6,223,209,37
1625854807,6,247,198,37
1625854810,7,293,194,37
1625854813,7,286,191,37
1625854816,10,288,189,37
1625854819,9,286,157,37
1625854822,7,278,129,37
1625854825,6,277,167,36
1625854828,6,278,234,36
1625854831,5,278,373,36
1625854834,3,278,112,36
1625854837,4,278,248,36
1625854840,7,278,289,36
1625854843,7,280,114,36
1625854846,7,280,0,36
1625854849,8,327,0,36
1625854852,6,327,91,36
1625854855,8,299,198,36
1625854858,6,298,58,36
1625854861,8,299,105,36
1625854864,8,297,199,36
1625854867,8,295,176,36
1625854870,5,293,48,36
1625854873,5,293,140,36
1625854876,3,293,175,36
1625854879,3,293,238,36
1625854882,3,293,142,36
1625854885,3,293,134,36
1625854888,2,293,148,36
1625854891,2,293,127,36
1625854894,1,292,128,36
1625854897,3,293,145,37
1625854900,3,292,136,37
1625854903,4,277,73,37
1625854906,3,277,103,37
1625854909,5,267,141,37
1625854912,5,257,192,37
1625854915,5,208,117,37
1625854918,3,208,165,37
