Running bytecode...,,,,,,,,,,
SCD Initializing,,,,,,,,,,
Instantiated FRAM,,,,,,,,,,
,,,,,,,,,,
Memory:       6896,,,,,,,,,,
RF identifier 2,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,
Hub Connect:  1,,,,,,,,,,
Transmit On:  1,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,
,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,
1,1,946692215,0,0,0,358,0,6080,0,3.22
1,1,946692218,127,24,33,358,0,4368,0,3.23
1,1,946692221,317,24,33,358,0,4368,0,3.24
1,1,946692224,468,24,33,359,0,4368,0,3.1
1,1,946692227,635,24,33,359,0,4368,0,3.23
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692230,0,0,0,358,0,6080,0,3.22
1,1,946692233,0,24,33,358,0,4368,0,3.23
1,1,946692236,547,24,33,358,0,4368,0,3.24
1,1,946692239,633,24,33,358,0,4368,0,3.24
1,1,946692242,0,24,33,358,0,4368,0,3.23
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692245,0,0,0,358,0,6080,0,3.22
1,1,946692248,0,24,33,358,0,4368,0,3.22
1,1,946692251,611,24,33,358,0,4368,0,3.23
1,1,946692254,660,24,33,358,0,4368,0,3.11
1,1,946692257,0,24,33,358,0,4368,0,3.23
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692260,0,0,0,358,0,6080,0,3.22
1,1,946692263,0,24,33,358,0,4368,0,3.22
1,1,946692266,608,24,33,358,0,4368,0,3.23
1,1,946692269,632,24,33,358,0,4368,0,3.11
1,1,946692272,645,24,33,359,0,4368,0,3.22
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692275,0,0,0,359,0,6080,0,3.22
1,1,946692278,2100,24,33,358,0,4368,0,3.22
1,1,946692281,1446,24,33,358,0,4368,0,3.23
1,1,946692284,1055,24,33,358,0,4368,0,3.1
1,1,946692287,680,24,33,359,0,4368,0,3.22
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692290,0,0,0,358,0,6080,0,3.22
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692293,0,0,0,358,0,6080,0,3.23
1,1,946692296,152,24,33,358,0,4368,0,3.23
1,1,946692299,542,24,33,358,0,4368,0,3.11
1,1,946692302,604,24,33,358,0,4368,0,3.24
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692305,0,0,0,358,0,6080,0,3.25
1,1,946692308,0,24,33,358,0,4368,0,3.24
1,1,946692311,611,24,33,358,0,4368,0,3.24
1,1,946692314,656,24,33,358,0,4368,0,3.1
