Memory:       7056,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  None,,,,,,,,,,,,,,,,,,,,
Hub Connect:  0,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,0,1644822024,784,24,32,249,0,4128,0,3.27,TRUE,,,,,,,,,
1,0,1644822027,784,24,32,232,0,4128,0,3.3,TRUE,,,,,,,,,
1,0,1644822030,783,24,32,221,0,4128,0,3.28,TRUE,,,,,,,,,
1,0,1644822033,785,24,32,183,0,4128,0,3.22,TRUE,,,,,,,,,
1,0,1644822036,786,24,32,229,0,4128,0,3.4,TRUE,,,,,,,,,
1,0,1644822039,786,24,32,226,0,4128,0,3.33,TRUE,,,,,,,,,
1,0,1644822042,786,24,32,220,0,4128,0,3.34,TRUE,,,,,,,,,
1,0,1644822045,786,24,32,218,0,4128,0,3.32,TRUE,,,,,,,,,
1,0,1644822048,787,24,32,213,0,4128,0,3.3,TRUE,,,,,,,,,
1,0,1644822051,787,24,32,219,0,4128,0,3.3,TRUE,,,,,,,,,
1,0,1644822054,787,24,32,225,0,4128,0,3.36,TRUE,,,,,,,,,
1,0,1644822057,787,24,32,204,0,4128,0,3.38,TRUE,,,,,,,,,
1,0,1644822060,788,24,32,153,0,4128,0,3.18,TRUE,,,,,,,,,
1,0,1644822063,788,24,32,170,0,4128,0,3.28,TRUE,,,,,,,,,
1,0,1644822066,786,24,32,195,0,4128,0,3.21,TRUE,,,,,,,,,
1,0,1644822069,788,24,33,220,0,4128,0,3.29,TRUE,,,,,,,,,
1,0,1644822072,789,24,32,147,0,4128,0,3.16,TRUE,,,,,,,,,
